,,,,,,,,,,,,,
,LEGENDA:,ATIVIDADE PERIÓDICA,,,,,,,,,,,
,,ATIVIDADE CONCLUÍDA,,,,,,,,,,,
,,ATIVIDADE INICIADA,,,,,,,,,,,
,,ATIVIDADE PRIORITÁRIA,,,,,,,,,,,
,,,,,,,,,,,,,
,PLANO ESTRATÉGICO BGF ,,,,,,,,,,,,
,,,,,,,,,,,,,
,"PESSOAL, POR FAVOR, ATUALIZAR OS STATUS DE CADA ÁREA, E CASO TENHAM ALGO A ACRESCENTAR PODEM COLOCAR!!! PROXIMA REUNIÃO DIA 24/01/2025.",,,,Não Iniciado,      LEGENDA DOS STATUS,Periódico,,,Iniciado,Concluído,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Área,Plano Estratégico,O que fazer - para executar o plano,Status,Responsável,Prioridades,"Data de início
real","Data de término
real",OBSERVAÇÕES,"Data de início
antecipado","Data de término
antecipado",Custo estimado,"Real
Custo"
,DIRETORIA,1. Ser sustentável  a todos  - todas área gerando lucros,calculo retorno de cada projeto,Iniciado,Flavio ,,28/06/2025,,,01/07/2025,01/08/2025,R$ 1.500,R$ 1.250
,DIRETORIA,7. Criar área de Projetos - Treinar e capacitar pessoas,,Iniciado,Flávio / Caio,,,,,,,,
,DIRETORIA,3 . Aumentar número de clientes e novos negócios Comercial mais assertivo ,numero de novos clientes efetivos,Periódico,Flavio ,,,,,01/08/2025,20/08/2025,R$ 1.450,
,DIRETORIA,4 . Diminuir despesas e aumentar controles - Sistemas conversando (Travas),planilha financeira ,Periódico,Flavio ,,01/06/2025,28/06/2025,,01/06/2025,01/07/2025,R$ 3.000,R$ 3.200
,DIRETORIA,5 . Aumentar eficiência (reduzir tempo de elaboração de relatórios ) – Sistemas e Boas práticas ,,Periódico,Flavio ,,,,,01/09/2025,15/09/2025,R$ 500,
,DIRETORIA,6. Ampliar Análise de Projetos- Melhorar gestão e treinamentos,número de treinamentos e pessoas,Periódico,Flavio ,,,,,,,R$ 575,R$ 125
,DIRETORIA,7. Criar área de Eficiência energética - Treinar e capacitar pessoas,qto treinamentos ,Concluído,Flavio ,,,,,12/09/2025,25/09/2025,R$ 1.750,
,DIRETORIA,"8.  Utilizar o Flávio onde ele faz diferença !! Solução de problemas, novos negócios.",,Concluído,Flavio ,,01/07/2025,,,01/07/2025,01/10/2025,R$ 925,R$ 250
,FINANCEIRO ,1. Cuidar do dia a dia dos Bancos ,Liberar acesso aos bancos para inclusão de pagamentos.,Concluído,Lilian ,,01/01/2023,01/01/2023,,01/01/2023,01/01/2023,R$ 0,R$ 0
,FINANCEIRO ,2. Trabalhar por projetos ,Exportar relatórios gerenciais do Omie por projetos. Agendar treinamento com consultor do Omie para verificar a melhor maneira de gerar esses relatórios.,Iniciado,Lilian ,1,,,,01/01/2025,01/07/2025,R$ 2.000,
,FINANCEIRO ,3. OMIE futuro (gerenciamento),"Verificar junto com o Flávio os relatórios gerados pelo Omie e analisar os ajustes que seriam necessários. Realizar treinamento com consultor da Omie, se necessário.",Iniciado,Lilian ,2,,,,01/01/2025,01/07/2025,R$ 2.000,
,FINANCEIRO ,4. Gerenciar custos h/h por projetos ,Pesquisar e analisar aplicativos de controle de horas por projeto.,Iniciado,Lilian ,3,,,,01/01/2025,01/07/2025,R$ 500,
,FINANCEIRO ,5. Fechar os ajustes dos CLT   ,Pesquisar quais são as alternativas para pagamento da diferença do valor de CLTs (atividade em conjunto com o Flávio),Iniciado,Lilian ,,,,,01/01/2025,01/07/2025,,
,FINANCEIRO ,6. Mudança de Contabilidade (meio do ano) ,"Preparação para início das atividades com a nova contabilidade, verificar todas as pendências contábeis antigas, criar pastas no Drive para incluir arquivos, manter lançamentos do Omie atualizados.",Concluído,Lilian ,,,,,01/05/2025,01/07/2025,,
,FINANCEIRO ,7. Mudança da política de recebimento de pagamentos da BGF (apenas por boleto),"Elaborar boletim informativo informando as novas diretrizes, enviar para todos os clientes que pagam por transferência.",Concluído,Lilian / Letícia,,,,,01/01/2025,01/03/2025,,
,FINANCEIRO ,8. Atualizar lançamentos no Omie que estavam em atraso,Colocar todos os lançamentos em dia.,Concluído,Lilian,,,,,01/01/2024,01/06/2024,,
,FINANCEIRO ,9. Mudar processo de preenchimento do gerenciamento de fluxo para manter sempre atualizado / Preenchimento das informações de fechamento financeiro para o Everton da Berrytech,Passar a preencher a aba fluxo (antes preenchida pela Vivian) e atualizar as informações diariamente.,Concluído,Lilian,,,,,01/02/2023,01/02/2024,,
,FINANCEIRO ,"10. Emissão de notas (descentralização / otimização do processo)
","Treinar Letícia para emissão/cancelamento/substituição de notas, emissão de boletos bancários e processo mais rápido para emissão de notas no primeiro dia útil do mês.  ",Concluído,Lilian,,,,,01/02/2023,01/01/2024,,
,FINANCEIRO ,11. Colocar as planilhas no Google (gerenciamento e detalhamento) permitindo que todos tenham acesso as informações,Inserir planilhas no Google e realizar as permissões de cada usuário (visualização / edição),Concluído,Lilian,,,,,01/01/2024,01/12/2024,,
,FINANCEIRO ,12. Ações para melhoria da gestão finaneira (aplicações CDB / negociação de tarifas bancárias),"Realizar investimentos no CDB, negociação de tarifas bancárias, rever processos de faturamentos.",Concluído,Lilian,,,,,01/01/2024,01/12/2024,,
,FINANCEIRO ,13. Emissão de ARTs de São Paulo ,Emissão de ARTs e outras atividades da Vivian em períodos de alta demanda para que não gere atrasos.,Concluído,Lilian,,,,,01/01/2024,01/12/2024,,
,FINANCEIRO ,14. Atualização do procedimento e formulários de aquisição de materiais e serviços e avaliação de fornecedores,Revisão de todo o processo e formulários.,Concluído,Lilian,,,,,01/09/2024,01/12/2024,,
,COMERCIAL ,1 Ampliar departamento comercial – Maior poder de venda ,"Estamos passando por uma baixa no momento, porém ganhando na parte técnica, em 3 meses teremos maior independencia do setor e maior poder de acompanhamento dos clientes",Concluído,Caio ,,01/06/2024,26/09/2024,,,,,
,COMERCIAL ,2 Reduzir tempo de respostas propostas,Aumentamos o número de tabelas de precificação e estamos trabalhando na capacitação do Régis com maio entendimento técnico para auxiliar na elaboração das propostas. ,Concluído,Caio ,,01/01/2025,20/02/2025,,,,,
,COMERCIAL ,3. Definição de políticas e contratos ,Realizado em conjunto com a Beatriz https://docs.google.com/document/d/15s3esE8p16p62AWTsoZjH_Hau5U7kskpYFCvljzyiMc/edit?usp=sharing,Concluído,Caio ,,06/12/2023,19/06/2024,,,,R$ 0,R$ 0
,COMERCIAL ,4. Ferramenta WhatsApp,Apresentando funcionalidades e orçamentos mas não foi aprovado pela diretoria. ,Concluído,Caio ,,27/01/2024,07/02/2024,,,,R$ 650,R$ 650
,COMERCIAL ,5 Ampliar número de outros mercados ,"Compra de lista de leads (16.000 contatos) e inserção de vendedor Marcus, porém sem sucesso. Devemos contratar um vendedor plenum para realização de novas prospecções. ",Periódico,Caio ,,11/03/2024,,"O trabalho neste item é perídico, não sendo aplicável prazos finais. ",,,,
,COMERCIAL ,6 Ampliar número de clientes e shoppings ,"Contato realizado com 207 shoppings de administração própria e envio dos materiais, mas ainda sem efeito. Contatos realizados na Expo Shopping 2024 (2 contatos). Continuar realização de novos follow-ups",Periódico,Caio ,,27/01/2024,,"O trabalho neste item é perídico, não sendo aplicável prazos finais. ",,,,
,COMERCIAL ,7 Ampliação dos serviços DOS / GUT / Análise de Projetos,"Além dos 207 shoppings de adm própria, fazemos realizaremos visitas trimestrais nos clientes potenciais e reuniões online. ",Periódico,Caio ,,27/01/2024,,"O trabalho neste item é perídico, não sendo aplicável prazos finais. ",,,,
,COMERCIAL ,8  Ampliar varejo lucrativo ,"Realizada reunião com todos os shoppings da Multiplan, onde foram apresentadas propostas para os lojistas em PMOC e Análise de projetos. ",Concluído,Caio ,,14/05/2024,,,,,,
,COMERCIAL ,9 Planilha de precificação e propostas automatizadas,Desenvolver tabela de precificação e propostas automatizadas para melhor padronização e diminuíção do tempo https://drive.google.com/file/d/10thKUBLVko0CZx2lxEUzjSRlYWgYf7GD/view?usp=drive_link,Concluído,Caio ,,10/03/2025,19/06/2025,Este é um trabalho que terá recorrência na melhoria contínua das tabelas. ,,,,
,COMERCIAL ,10 Buscar fornecedores / parceiros (E),Projetistas / Topografia / Calculistas ,Não Iniciado,Caio ,1,,,,,,,
,COMERCIAL ,11  Rever escopo de serviços da BGF e focar no que realmente vale a pena (L),Fazer revisão do site junto com o Marco e trabalhar as informações para melhorar a venda dos serviços que realmente importam,Não Iniciado,Caio ,2,,,,,,,
,COMERCIAL ,12 Divulgar conhecimento da negociação e qualificação de clientes com os demais colaboradores (D),Fazer oficinas de treinamento no comercial e para os colaboradores que estejam interessados em aprender as técnicas utilizadas. ,Não Iniciado,Caio ,3,,,,,,,
,COMERCIAL ,11 Desenvolver envio de follow-up direto pela tabela,"Verificar códigos para envio de follow-up automáticos, sem a necessidade de criar e-mails e reduzir o tempo",Concluído,Caio ,,10/03/2025,20/03/2025,"Identificamos que este envio automatizaado não faria sentido, visto que perderíamos o controle via Omie ou geraria retrabalho para repassar as informações, principalmente em períodos de grande movimentação. Com isso, decidimos cancelar esta oportunidade. ",,,,
,COMERCIAL ,12 Elaborar modelo de cliente oculto,"Definir modelo de cliente oculto para as principais soluções que oferecemos (Análise de projetos, elevadores, vistorias prediais, SPDA, Análise da Qualidade de energia)",Concluído,Caio ,,10/05/2025,20/06/2025,Realizado levantamento primário dos serviços e estamos aguardando avaliação da diretoria para que possamos seguir com as devidas tratativas e realização de outras tomadas de preços. ,,,,
